year,cpi
1960,1
1961,1.016952177
1962,1.053890079
1963,1.084939329
1964,1.229835832
1965,1.346359743
1966,1.491791577
1967,1.686652391
1968,1.741256246
1969,1.731084939
1970,1.81923626
1971,1.875267666
1972,1.996074233
1973,2.334225553
1974,3.00178444
1975,3.174339757
1976,2.932012848
1977,3.175588865
1978,3.255710207
1979,3.460028551
1980,3.852605282
1981,4.357780157
1982,4.701641685
1983,5.259635974
1984,5.697180585
1985,6.013740186
1986,6.538722341
1987,7.11420414
1988,7.781763026
1989,8.332266944
1990,9.079774071
1991,10.33916108
1992,11.5579227
1993,12.28917967
1994,13.54856668
1995,14.93389239
1996,16.27453017
1997,17.44047879
1998,19.74800079
1999,20.67019708
2000,21.49895498
2001,22.31146273
2002,23.27022187
2003,24.15585531
2004,25.06586399
2005,26.13024914
2006,27.64489331
2007,29.40666956
2008,31.86191093
2009,35.32923653
2010,39.56499645
2011,43.06980666
2012,47.08065897
2013,52.21604932
2014,55.53343652
2015,58.79459681
2016,61.6996534
2017,63.23652204
2018,66.31025933
2019,71.38942278
